frequency,impedance,phase
10000,2170.5491,-17.238983
11800,2177.7302,0.470123
13600,2174.884,1.083191
15400,2183.114,1.062927
17200,2180.7383,0.964172
19000,2179.4763,0.971527
20800,2179.8423,1.012024
22600,2176.9824,0.916779
24400,2176.5732,1.04657
26200,2181.3442,1.03952
28000,2177.7041,1.028351
29800,2179.0803,1.085876
31600,2181.28,1.058838
33400,2180.6567,1.084717
35200,2179.093,1.07135
37000,2179.7834,1.107391
38800,2179.124,1.060272
40600,2179.1113,1.156494
42400,2179.2546,1.126587
44200,2180.2131,1.194
46000,2183.3264,1.217957
47800,2181.595,1.121674
49600,2178.6116,1.12561
51400,2180.9868,1.141479
53200,2179.8691,1.162354
55000,2179.9927,1.182648
56800,2179.1138,1.194977
58600,2180.1299,1.192627
60400,2180.7969,1.188965
62200,2179.4482,1.179535
64000,2179.5303,1.225189
65800,2179.7859,1.287537
67600,2181.5232,1.295654
69400,2180.0615,1.240204
71200,2180.3381,1.306732
73000,2177.741,1.277588
74800,2180.436,1.316864
76600,2182.8916,1.293182
78400,2181.8806,1.259796
80200,2178.6836,1.272766
82000,2180.5139,1.328156
83800,2181.5544,1.378479
85600,2179.47,1.431061
87400,2182.3608,1.347076
89200,2179.4961,1.382446
91000,2180.8167,1.402771
92800,2181.5559,1.40036
94600,2179.5405,1.408569
96400,2180.6335,1.367401
98200,2178.6685,1.41394
100000,2179.5098,1.471741
