,Frequency,Impedance,Phase
0,10000.0,827048.8154287031,-0.6401931427561749
1,11800.0,828673.12932122,-0.9277187683205739
2,13600.0,825538.2662138038,-1.167936076887031
3,15400.0,830113.2190038991,-1.089649768878587
4,17200.0,828361.8415516495,-1.3007663612229976
5,19000.0,825378.5860330492,-1.6269193829435267
6,20800.0,833188.6764234293,-1.9751072435520314
7,22600.0,829527.6964499446,-1.4242881747778142
8,24400.0,833732.0177827069,-1.6622268780324703
9,26200.0,831718.1690015722,-2.0206099482434183
10,28000.0,835070.1637852708,-2.4869968580588875
11,29800.0,823125.1099320978,-1.7486449679620364
12,31600.0,829069.8810342497,-2.5236917145997495
13,33400.0,839986.541577769,-1.9443209389445997
14,35200.0,830677.1236837469,-2.4188149414042073
15,37000.0,830205.4174030798,-2.779336979273353
16,38800.0,821907.6212433173,-2.937494266872534
17,40600.0,831776.5194237431,-3.2466441489290787
18,42400.0,835150.0974358171,-4.266932265145044
19,44200.0,825494.2518675078,-2.6574584406262147
20,46000.0,831561.9936948381,-3.43729408861293
21,47800.0,825401.3221504587,-3.449546740398432
22,49600.0,839278.4990490904,-4.005710576451236
23,51400.0,826272.5318518715,-4.214135581362882
24,53200.0,828230.8062744099,-4.25693414916401
25,55000.0,821233.9798942531,-3.9376064008111484
26,56800.0,841297.1795131627,-4.1335233587588505
27,58600.0,816195.4457303246,-4.023208819770161
28,60400.0,833900.0233454605,-4.211224414281162
29,62200.0,832418.9727060706,-4.776136045969736
30,64000.0,836955.153815903,-5.340436222937285
31,65800.0,827288.2922100249,-5.363754998307684
32,67600.0,825821.2202805021,-5.365779200654458
33,69400.0,830518.5511468579,-5.463622838407787
34,71200.0,819969.2734343009,-4.793039472957332
35,73000.0,825777.1342443693,-5.8989465097922675
36,74800.0,821696.7596686758,-5.883176489000789
37,76600.0,832255.9024861715,-5.498379960680438
38,78400.0,830712.674321574,-5.499663167803931
39,80200.0,850631.3893912302,-7.077302360439603
40,82000.0,824850.6690404596,-6.314484508340968
41,83800.0,826876.758305741,-6.252925307369708
42,85600.0,834269.5683412097,-5.170359814898006
43,87400.0,823422.9609687346,-6.633363217710496
44,89200.0,796778.2643793935,-5.832162158116944
45,91000.0,830125.7413897869,-6.932964065668216
46,92800.0,838718.4222610103,-6.614913929468628
47,94600.0,816991.1063620016,-7.026189973694841
48,96400.0,822745.9287082726,-7.22583968229867
49,98200.0,799417.3380199254,-7.341578623968019
50,100000.0,824455.983479918,-7.639050186365182
