frequency,impedance,phase
10000,202597.8,-17.848114
11800,202529.34,-18.026459
13600,202136.61,-17.776367
15400,203070.02,-17.859253
17200,202973.58,0.581268
19000,203119.22,0.864288
20800,203054.42,0.926758
22600,203245.03,0.698608
24400,202524.08,0.824554
26200,202856.41,0.796631
28000,202482.27,0.762939
29800,202644.27,0.787933
31600,202912.89,0.561737
33400,202968.13,0.588928
35200,202709.7,0.617249
37000,202916.88,0.508789
38800,202617.78,0.474365
40600,202807.11,0.49646
42400,202619.27,0.395508
44200,202486.0,0.506531
46000,202888.22,0.363464
47800,202727.8,0.184631
49600,202556.09,0.26889
51400,202702.08,0.265289
53200,202374.7,0.223785
55000,202355.16,0.149109
56800,202327.33,0.109009
58600,202333.72,0.125732
60400,202425.44,0.076538
62200,202596.56,0.033264
64000,202345.47,-0.011688
65800,202312.7,-0.05899
67600,202393.23,-0.151764
69400,202159.06,-0.106567
71200,202052.0,-0.100647
73000,202113.34,-0.207581
74800,202068.81,-0.220276
76600,202673.63,-0.284637
78400,202128.86,-0.404999
80200,201932.84,-0.427643
82000,201976.84,-0.346558
83800,202066.61,-0.427643
85600,201634.67,-0.505981
87400,201727.33,-0.482483
89200,201957.81,-0.430695
91000,201956.67,-0.485016
92800,201796.92,-0.600525
94600,201943.16,-0.581573
96400,201847.66,-0.691193
98200,201776.17,-0.703979
100000,201574.3,-0.688812
