,Frequency,Impedance,Phase
0,10000.0,4617.883580197768,0.11768489378209779
1,11800.0,4627.118514877598,-0.04215907489788151
2,13600.0,4624.4804573251695,-0.19832097321364017
3,15400.0,4634.071068406319,-0.009837443570233972
4,17200.0,4634.841707071622,-0.004790506901713343
5,19000.0,4617.9159630126,-0.06913049884161637
6,20800.0,4632.784281902076,-0.06439559844682208
7,22600.0,4606.148128882109,-0.0153326731806942
8,24400.0,4633.398466734862,-0.12584879121777703
9,26200.0,4629.778278502986,-0.10813449682416376
10,28000.0,4636.783916169152,-0.07328523260412112
11,29800.0,4635.12185843242,-0.14743760110997073
12,31600.0,4626.636917452093,-0.125618906634827
13,33400.0,4634.675345648723,-0.16037515866082686
14,35200.0,4619.5435835856,-0.19704327609395023
15,37000.0,4631.998301700208,-0.22744455696823707
16,38800.0,4629.123254234286,-0.12953382305295236
17,40600.0,4632.615258208266,-0.16713684758218506
18,42400.0,4628.119331543875,-0.18991868720570437
19,44200.0,4631.531123144967,-0.08404531903011048
20,46000.0,4622.144507866343,-0.06419623093762539
21,47800.0,4618.478397787341,-0.2528449658715317
22,49600.0,4631.664208157028,-0.21000017086839762
23,51400.0,4625.0343912320595,-0.20408963353963827
24,53200.0,4639.410755451767,-0.26572835313862697
25,55000.0,4636.03204555258,-0.15561630224158307
26,56800.0,4642.854079602542,0.08207264421304217
27,58600.0,4621.491303074227,-0.22629522849138084
28,60400.0,4631.611435513124,-0.21621150114879129
29,62200.0,4627.216247070263,-0.21902623085662754
30,64000.0,4622.191697117416,-0.24024298365594632
31,65800.0,4625.162928147265,-0.23452229043533634
32,67600.0,4626.242172216652,-0.16998778626833655
33,69400.0,4631.715649184787,-0.25297260779473163
34,71200.0,4633.778812391992,-0.24623513444026912
35,73000.0,4632.144583602711,-0.2535643215477421
36,74800.0,4626.308608404617,-0.19733098774167956
37,76600.0,4631.314259722593,-0.2878711620530794
38,78400.0,4627.922385026437,-0.2652135555648556
39,80200.0,4639.763202704031,-0.3153528407326007
40,82000.0,4634.55465567079,-0.28451723711481236
41,83800.0,4627.232668223501,-0.3862325673344458
42,85600.0,4632.599225723553,-0.23998153606260075
43,87400.0,4633.958703920935,-0.29398626323450117
44,89200.0,4631.661775841962,-0.21555319128214023
45,91000.0,4633.172550639108,-0.4474393224551818
46,92800.0,4626.40825826852,-0.3049948252293575
47,94600.0,4629.003886980072,-0.2907344842152497
48,96400.0,4629.047245952462,-0.2979857419363725
49,98200.0,4627.7027249722505,-0.32399638415557774
50,100000.0,4623.217986220895,-0.3270570991345494
