,Frequency,Impedance,Phase
0,10000.0,556.1639982955986,0.14688253183112465
1,11800.0,557.3943074969898,-0.0920282010188771
2,13600.0,555.7210721769569,-0.19200888320295917
3,15400.0,557.7170571773676,-0.022257371234388756
4,17200.0,558.6012392179446,-0.0400551235144917
5,19000.0,555.761803379975,-0.10271546712078816
6,20800.0,558.2575587568745,-0.04929667536157467
7,22600.0,557.8365829842546,-0.41379498792576896
8,24400.0,557.2691409677949,-0.053664741370482716
9,26200.0,557.0149519893849,-0.164572527986536
10,28000.0,558.2722803888352,-0.07310086965804885
11,29800.0,557.4218363629248,-0.2234165743396943
12,31600.0,557.3769816183768,-0.03486538015823726
13,33400.0,557.3822308986339,-0.1796477049905434
14,35200.0,557.2149168826942,-0.04172695454292352
15,37000.0,557.8166879256946,-0.25518347627405547
16,38800.0,557.5493711064933,-0.1365789005917577
17,40600.0,558.119429628213,-0.15736037890678745
18,42400.0,557.0711799615159,-0.1494177652348867
19,44200.0,558.660895027552,-0.12998740037340895
20,46000.0,558.0864488985194,-0.2366544880480319
21,47800.0,557.6926447792414,-0.1741326538535759
22,49600.0,558.2752305391241,-0.20874243765302936
23,51400.0,557.3103658665624,-0.12268512214581051
24,53200.0,558.8397206141486,-0.16968469192710245
25,55000.0,557.1042831557764,-0.21627070159593131
26,56800.0,554.8212351128401,-0.3407750118951185
27,58600.0,558.2797887023611,-0.2375775779124183
28,60400.0,557.2823577035855,-0.24206322350403298
29,62200.0,557.8721612230046,-0.2790778705348771
30,64000.0,557.6464361897478,-0.31694310134059833
31,65800.0,557.5992858819707,-0.27879826239711747
32,67600.0,557.823953757108,-0.2995359876331918
33,69400.0,558.4039946167123,-0.3038090064307539
34,71200.0,557.8980657858219,-0.2403614918144399
35,73000.0,557.5228653921558,-0.27784505929037095
36,74800.0,556.639892392236,-0.3955419958099924
37,76600.0,558.0755810047507,-0.3066811771691391
38,78400.0,557.6026098515646,-0.28362847126805946
39,80200.0,558.5766950368184,-0.2943578443193928
40,82000.0,557.8130313520269,-0.27820664191449396
41,83800.0,557.691081365707,-0.26249679494361544
42,85600.0,557.5008996223528,-0.3415829682487015
43,87400.0,557.6733134843382,-0.31399869669007785
44,89200.0,557.8058450805984,-0.25600449850463747
45,91000.0,557.5523915894889,-0.5060278863990675
46,92800.0,556.8946812408178,-0.3071922725275158
47,94600.0,557.6622976155595,-0.3410318066389664
48,96400.0,557.6440379683701,-0.26076811000348243
49,98200.0,556.9880319656547,-0.38701780497694926
50,100000.0,557.2132114678487,-0.4065306922046261
