frequency,impedance,phase
10000,49631.555,-15.532562
11800,49652.816,-15.924927
13600,49516.422,-15.333038
15400,49869.566,-15.503326
17200,49709.715,-15.513367
19000,49954.688,2.267212
20800,49940.16,2.757019
22600,49798.156,2.661072
24400,49783.805,2.869934
26200,49901.836,2.805328
28000,49789.648,2.834991
29800,49915.637,2.841614
31600,49867.477,2.939056
33400,50096.477,2.90509
35200,49870.676,2.907623
37000,49945.898,2.948761
38800,49878.914,2.974243
40600,49890.93,3.053345
42400,49816.063,2.893707
44200,49746.395,3.143921
46000,50000.355,3.185364
47800,49945.359,3.102631
49600,49963.602,3.08728
51400,49918.531,3.005737
53200,49890.414,3.096985
55000,49894.902,3.174438
56800,49822.16,3.128662
58600,49788.672,3.174347
60400,49839.711,3.134003
62200,49816.906,3.197968
64000,49863.328,3.267975
65800,49944.875,3.217987
67600,49932.879,3.274139
69400,49850.066,3.259949
71200,49919.797,3.311737
73000,49791.484,3.353058
74800,49795.121,3.473663
76600,50030.719,3.452209
78400,49937.395,3.432037
80200,49888.516,3.442719
82000,49846.32,3.497894
83800,49809.672,3.574707
85600,49858.094,3.537903
87400,49924.898,3.364075
89200,49836.188,3.66156
91000,49873.473,3.623383
92800,49887.359,3.495636
94600,49820.934,3.621613
96400,49825.016,3.713715
98200,49827.34,3.642059
100000,49794.832,3.753448
