frequency,impedance,phase
10000,96881.297,-14.086548
11800,96898.18,-14.959625
13600,96420.82,-13.832184
15400,97616.781,-14.005188
17200,97369.961,-14.031708
19000,97354.594,-14.001892
20800,97374.422,-14.020142
22600,97782.336,3.780334
24400,97122.125,4.33606
26200,97815.867,4.396179
28000,97115.008,4.314301
29800,97462.539,4.553711
31600,97371.109,4.587463
33400,98085.961,4.596863
35200,97451.344,4.613739
37000,97969.938,4.592957
38800,97075.125,4.457001
40600,97219.0,5.017944
42400,97251.891,4.736877
44200,97304.188,5.223022
46000,97660.172,5.140533
47800,97661.031,5.021149
49600,97788.047,5.035583
51400,97552.711,5.073456
53200,97417.188,5.052521
55000,97525.477,5.416016
56800,97647.32,5.028564
58600,97647.523,5.248138
60400,97349.0,5.347595
62200,98008.039,5.504395
64000,97752.297,5.330536
65800,97025.867,5.457733
67600,97717.273,5.65509
69400,97541.844,5.442535
71200,97407.273,5.620819
73000,97107.742,5.385559
74800,97351.031,5.918671
76600,97659.578,5.626099
78400,97338.273,5.789856
80200,97263.977,5.888519
82000,97271.531,5.784515
83800,97257.758,5.99585
85600,97272.516,5.66864
87400,97633.547,5.823059
89200,97303.57,5.9552
91000,97514.055,5.995056
92800,97484.492,5.979797
94600,97540.031,6.251831
96400,97075.625,6.236267
98200,97536.844,6.374146
100000,97335.734,6.530365
