frequency,impedance,phase
10000,31706.279,-25.540741
11800,32044.047,-27.069122
13600,31975.314,-27.375183
15400,32334.805,-27.426239
17200,31810.938,-28.181946
19000,31865.676,-10.591888
20800,31847.801,-10.722534
22600,31878.105,-11.15094
24400,31829.908,-11.313446
26200,31747.82,-12.692322
28000,31608.709,-12.834076
29800,31653.006,-13.219513
31600,31508.1,-13.618378
33400,31369.033,-14.070862
35200,31359.41,-14.474518
37000,31423.572,-15.184875
38800,30955.777,-15.087494
40600,31145.652,-16.710419
42400,31105.768,-16.064972
44200,30745.316,-16.402832
46000,30830.455,-17.39624
47800,30772.547,-17.836548
49600,30640.051,-18.228058
51400,30839.934,-18.68689
53200,30379.916,-19.292969
55000,30014.945,-19.661438
56800,30309.598,-19.297241
58600,30427.508,-20.275665
60400,30212.518,-20.678619
62200,29946.516,-21.409302
64000,30098.76,-21.556091
65800,29756.68,-22.128235
67600,29802.764,-22.908295
69400,29618.354,-23.09549
71200,30016.865,-22.663879
73000,29261.943,-23.856537
74800,29529.389,-23.948395
76600,29585.992,-24.717987
78400,29184.652,-25.040405
80200,29067.367,-25.229553
82000,29173.17,-26.097656
83800,28994.785,-26.955505
85600,28377.736,-26.28125
87400,29144.299,-28.113739
89200,28510.568,-27.734863
91000,28375.74,-28.275665
92800,28576.52,-28.149353
94600,28243.58,-28.478668
96400,28287.682,-28.79599
98200,28046.982,-28.850616
100000,28094.5,-29.348663
