frequency,impedance,phase
10000,66338.688,-15.021118
11800,66227.07,-15.420502
13600,66097.039,-14.684937
15400,66721.336,-14.839569
17200,66413.977,-14.761017
19000,66718.922,-14.968201
20800,66787.953,3.025543
22600,66759.367,3.408173
24400,66501.133,3.575012
26200,66799.867,3.473969
28000,66377.594,3.594269
29800,66862.086,3.869659
31600,66787.328,3.522461
33400,66853.156,3.487091
35200,66645.406,3.560333
37000,66775.602,3.564117
38800,66586.922,3.591278
40600,66720.555,3.751801
42400,66543.453,3.71344
44200,66618.289,4.010498
46000,67074.688,3.878052
47800,66677.883,3.908234
49600,66794.43,3.84082
51400,66899.719,3.958252
53200,66646.836,3.770172
55000,66858.844,4.03833
56800,66653.352,3.892334
58600,66523.813,4.021881
60400,66673.32,3.970276
62200,66760.094,4.24411
64000,66703.391,3.987946
65800,66658.188,4.133209
67600,66779.672,4.1008
69400,66655.422,4.055054
71200,66757.961,4.23172
73000,66610.469,4.24295
74800,66623.617,4.41803
76600,66656.266,4.324799
78400,66725.742,4.143005
80200,66607.227,4.33374
82000,66701.125,4.276428
83800,66925.984,4.318604
85600,66594.82,4.455811
87400,66609.922,4.28894
89200,66578.078,4.663971
91000,66716.75,4.651154
92800,66697.664,4.568756
94600,66757.25,4.567352
96400,66521.813,4.670135
98200,66507.383,4.736786
100000,66570.555,4.747498
