frequency,impedance,phase
10000,673128.5,-19.412292
11800,668384.25,-20.20401
13600,668022.44,-19.812653
15400,672535.94,-20.096069
17200,669675.88,-20.435547
19000,671378.25,-20.745178
20800,670155.56,-20.816833
22600,668785.0,-21.308044
24400,665447.81,-21.024689
26200,670315.13,-2.881653
28000,665587.31,-2.515564
29800,667130.31,-2.743988
31600,667471.19,-2.950012
33400,666621.38,-3.101685
35200,665251.75,-3.443756
37000,665977.56,-3.618042
38800,662822.0,-3.905609
40600,660776.5,-3.879089
42400,659142.5,-4.191711
44200,660697.31,-3.868774
46000,664324.06,-4.303772
47800,664233.88,-4.544159
49600,660386.63,-4.812744
51400,659313.31,-5.007965
53200,656695.56,-5.250641
55000,657133.81,-5.185211
56800,657096.94,-5.671387
58600,654894.0,-5.735138
60400,657264.94,-5.832764
62200,653217.38,-6.236481
64000,653078.13,-6.410797
65800,653128.75,-6.444366
67600,651924.94,-6.688477
69400,650332.06,-6.765778
71200,652906.56,-7.06369
73000,647078.06,-6.948364
74800,647169.5,-6.9953
76600,650306.5,-7.712067
78400,644934.88,-7.681396
80200,644876.5,-7.764038
82000,644354.44,-8.015564
83800,644929.56,-8.274109
85600,642716.5,-8.397186
87400,643487.44,-8.647705
89200,641309.38,-8.629211
91000,640936.63,-8.771606
92800,639931.06,-8.998138
94600,636501.5,-9.357208
96400,637503.63,-9.36026
98200,636154.19,-9.478973
100000,635807.75,-9.494873
