,Frequency,Impedance,Phase
0,10000.0,100008.93652310179,0.0064042807547366465
1,11800.0,99982.64908033221,-0.013059579551907063
2,13600.0,100003.62205460397,0.02383082529559033
3,15400.0,100009.96704829764,0.001051523399951293
4,17200.0,99986.33953479724,-0.01942439975846355
5,19000.0,99991.69267546022,-0.03089772927546619
6,20800.0,100014.85663024531,-0.009816509854942979
7,22600.0,99833.76920286626,-0.06884501033704282
8,24400.0,100098.73833122484,0.05363665097382864
9,26200.0,100009.63610722782,0.0018193366156538104
10,28000.0,99937.04242367345,-0.037496580654305944
11,29800.0,100014.4281437548,-0.021750837171566673
12,31600.0,99985.00329487794,-0.009768632815223555
13,33400.0,100010.59104341283,0.01530397374341419
14,35200.0,100011.9620264121,-0.028870857753020118
15,37000.0,100022.97499811939,0.012875221833098749
16,38800.0,99990.95973732439,-0.002663233033842971
17,40600.0,99973.18392060438,-0.008338103029643662
18,42400.0,99999.99999999999,0.0
19,44200.0,99968.60089353303,-0.004027165536683697
20,46000.0,100077.08388153836,-0.04793463350665661
21,47800.0,100019.69066498824,-0.027520876677499473
22,49600.0,99972.39406650385,-0.018131247121800698
23,51400.0,99986.39926430855,0.030459400381857904
24,53200.0,100083.87044636223,-0.014739735498039863
25,55000.0,100047.79261412012,0.02189342506619596
26,56800.0,99926.61928230329,0.08665768448224753
27,58600.0,100056.64787341058,-0.01043876171621605
28,60400.0,99954.22472658793,-0.031959161442387085
29,62200.0,99933.9525755466,-0.028145974990366085
30,64000.0,100028.91425772166,-0.016549901435041647
31,65800.0,99964.70229936372,-0.021171930676644024
32,67600.0,99961.84780965607,-0.06730657772192217
33,69400.0,99923.05900252251,0.03856584117284001
34,71200.0,99977.73459394535,0.0030240775301990652
35,73000.0,99880.06438166999,0.05487777780899705
36,74800.0,99983.29042196779,-0.02221208783066686
37,76600.0,100024.01246214262,-0.060855455171520134
38,78400.0,100007.68509932925,-0.024514625328095008
39,80200.0,99946.11287052509,-0.035885301684288606
40,82000.0,99984.4783618953,-0.03608685565268388
41,83800.0,100028.16588254653,0.004016103092510548
42,85600.0,99984.73557542945,-0.015318888736715053
43,87400.0,100056.50763564747,0.022634001890992295
44,89200.0,100027.15590718223,-0.021242906121415217
45,91000.0,99959.02888447375,-0.021323288106600558
46,92800.0,100029.55232794883,-0.03371827812054562
47,94600.0,99965.74394194447,-0.07500243122160555
48,96400.0,99963.6485071201,-0.0042564620616758475
49,98200.0,99966.0742709096,-0.017849872284386947
50,100000.0,99951.47641453722,0.009912017299370746
