frequency,impedance,phase
10000,5009.2681,-15.104584
11800,5010.3989,-15.475372
13600,4995.1841,-14.894257
15400,5043.3931,-15.034271
17200,5022.022,-15.026855
19000,5045.4717,2.727631
20800,5051.207,3.241669
22600,5051.0093,3.294403
24400,5029.6396,3.340668
26200,5045.5596,3.325287
28000,5031.2871,3.442017
29800,5051.437,3.536652
31600,5037.9082,3.500061
33400,5047.5986,3.618225
35200,5039.4434,3.492401
37000,5044.2178,3.561646
38800,5037.7778,3.573273
40600,5050.6177,3.7211
42400,5033.6279,3.56189
44200,5035.7813,3.919739
46000,5060.27,3.80838
47800,5037.4087,3.681305
49600,5046.2031,3.825317
51400,5044.2305,3.757324
53200,5044.5034,3.861725
55000,5047.0762,3.901276
56800,5039.6416,3.913513
58600,5039.2939,3.98465
60400,5045.4521,3.920441
62200,5052.3828,4.044037
64000,5043.1499,4.22876
65800,5040.1108,4.177826
67600,5036.9575,4.164154
69400,5040.3848,4.226471
71200,5048.0596,4.214355
73000,5035.9565,4.279541
74800,5040.8154,4.525543
76600,5053.3599,4.395081
78400,5039.4458,4.369873
80200,5056.2969,4.409973
82000,5049.3428,4.507202
83800,5041.9907,4.447052
85600,5040.9155,4.51239
87400,5041.0635,4.57486
89200,5040.0088,4.63446
91000,5053.7432,4.684204
92800,5036.1724,4.629181
94600,5047.9839,4.653931
96400,5043.0298,4.911346
98200,5044.6221,4.843048
100000,5042.0659,4.787689
