frequency,impedance,phase
10000,32408.166,-16.133423
11800,32424.797,-16.401825
13600,32354.842,-15.951935
15400,32535.598,-16.045715
17200,32575.963,1.804382
19000,32620.434,2.057983
20800,32628.27,2.157654
22600,32630.857,1.964905
24400,32501.744,2.177856
26200,32584.568,2.15094
28000,32482.318,2.147614
29800,32577.914,2.256256
31600,32540.596,2.208527
33400,32618.785,2.107178
35200,32556.342,2.214294
37000,32603.227,2.197937
38800,32536.666,2.140228
40600,32551.803,2.312195
42400,32558.678,2.192871
44200,32562.846,2.396973
46000,32629.992,2.342743
47800,32601.404,2.194244
49600,32603.092,2.256805
51400,32588.029,2.231628
53200,32604.777,2.236237
55000,32516.797,2.280945
56800,32542.912,2.253357
58600,32547.328,2.328247
60400,32562.838,2.289978
62200,32531.0,2.275696
64000,32612.111,2.261841
65800,32565.816,2.355743
67600,32554.729,2.278351
69400,32568.709,2.410919
71200,32575.506,2.326599
73000,32499.088,2.367035
74800,32590.988,2.476868
76600,32621.549,2.445709
78400,32558.207,2.426941
80200,32597.51,2.425354
82000,32548.305,2.42334
83800,32525.453,2.349487
85600,32629.488,2.39505
87400,32594.344,2.437744
89200,32540.676,2.518158
91000,32566.869,2.539734
92800,32591.264,2.447357
94600,32527.006,2.538177
96400,32511.57,2.516632
98200,32549.123,2.526611
100000,32558.992,2.586792
