frequency,impedance,phase
10000,4597.3574,-15.890778
11800,4600.7676,-16.197662
13600,4589.479,-15.778656
15400,4633.4971,2.04837
17200,4626.2588,2.468781
19000,4623.8511,2.350983
20800,4629.0601,2.32193
22600,4617.7881,2.307007
24400,4611.7959,2.479736
26200,4627.854,2.476471
28000,4614.6094,2.570648
29800,4635.7661,2.571838
31600,4624.5264,2.576965
33400,4631.8491,2.56427
35200,4622.7402,2.673126
37000,4629.5723,2.652527
38800,4618.7891,2.654327
40600,4631.3267,2.790588
42400,4617.1719,2.739502
44200,4623.6729,2.982758
46000,4642.0889,2.812439
47800,4632.6558,2.776825
49600,4639.6987,2.980011
51400,4639.8628,2.890808
53200,4617.1528,2.901093
55000,4627.5684,3.003204
56800,4627.7881,3.033234
58600,4620.9946,3.094299
60400,4628.9858,3.184021
62200,4624.2397,3.124481
64000,4636.937,3.2052
65800,4626.7026,3.147186
67600,4625.1235,3.241608
69400,4623.002,3.336243
71200,4630.8232,3.432495
73000,4621.603,3.329681
74800,4625.8491,3.528198
76600,4629.9131,3.424561
78400,4629.7808,3.539459
80200,4630.4375,3.402618
82000,4621.7358,3.476776
83800,4612.8467,3.430389
85600,4627.8286,3.562561
87400,4631.3311,3.561218
89200,4627.0903,3.65979
91000,4633.7017,3.629974
92800,4627.75,3.708801
94600,4628.041,3.787781
96400,4622.5825,3.803925
98200,4622.897,3.705536
100000,4629.0088,3.872314
