frequency,impedance,phase
10000,551760.31,-18.911285
11800,551651.81,-19.677307
13600,552299.44,-19.085266
15400,554537.25,-19.597839
17200,553685.81,-19.599457
19000,553272.19,-19.979462
20800,552256.19,-19.962891
22600,550236.94,-20.146027
24400,550973.88,-1.704834
26200,553343.94,-1.517761
28000,550719.56,-1.472504
29800,553280.69,-1.799835
31600,550638.63,-2.034912
33400,550337.88,-2.026306
35200,549278.0,-2.320343
37000,549343.75,-2.46875
38800,547746.94,-2.607269
40600,548497.25,-2.694092
42400,546716.31,-3.058014
44200,548636.13,-2.945984
46000,547657.81,-3.026184
47800,547064.25,-3.510437
49600,545895.81,-3.425537
51400,546602.94,-3.754211
53200,545671.25,-3.846619
55000,544971.13,-4.005676
56800,544100.56,-4.076599
58600,544196.94,-4.144104
60400,544259.38,-4.24585
62200,543674.5,-4.401489
64000,545466.0,-4.677307
65800,541351.63,-4.7771
67600,542043.38,-4.966309
69400,541472.81,-5.086121
71200,540519.44,-5.043091
73000,540842.75,-5.514709
74800,538086.31,-5.378632
76600,541860.88,-5.490265
78400,540062.81,-5.867249
80200,537483.69,-5.814148
82000,539227.44,-6.120911
83800,536222.75,-6.192261
85600,537103.0,-6.198853
87400,535830.06,-6.492218
89200,534911.25,-6.491272
91000,534208.13,-6.61554
92800,533294.38,-6.885956
94600,532494.0,-6.973419
96400,533541.63,-7.085297
98200,531603.88,-7.133179
100000,531788.25,-7.30957
