,Frequency,Impedance,Phase
0,10000.0,49573.2896156719,-6.385755819367375
1,11800.0,49509.85545884146,-7.73221415257467
2,13600.0,49310.944703485475,-9.12285760386834
3,15400.0,49261.35241704692,-9.998198254147098
4,17200.0,48942.9402585005,-11.173278080690636
5,19000.0,48706.640454397784,-12.158124032662727
6,20800.0,48644.46364579399,-13.479265513747691
7,22600.0,48157.00544957228,-14.558270464269981
8,24400.0,48194.12165162127,-15.80707745620748
9,26200.0,47845.7465987609,-16.7923700121533
10,28000.0,47666.54290505936,-17.87331980175054
11,29800.0,47300.673132399825,-18.98588041133854
12,31600.0,46959.53537408679,-19.97227451378916
13,33400.0,46761.25197775647,-21.086095870713564
14,35200.0,46393.4411494013,-22.070472431365772
15,37000.0,45936.010052429374,-23.159236592690945
16,38800.0,45761.50598217942,-24.16188941297861
17,40600.0,45359.67994247157,-25.152739579939805
18,42400.0,44887.3312076697,-26.094392331875213
19,44200.0,44645.58854240967,-27.11124706123843
20,46000.0,44316.0447806737,-28.035996888786656
21,47800.0,43831.836239313765,-28.97332465807881
22,49600.0,43473.677371919526,-29.816756767757397
23,51400.0,43094.233526717326,-30.735444752199214
24,53200.0,42702.96392869853,-31.450349302519726
25,55000.0,42321.55062763039,-32.4712115220799
26,56800.0,41756.86516519519,-33.23939928811171
27,58600.0,41487.945220213354,-34.18676641778393
28,60400.0,41134.66164619629,-35.0113464342769
29,62200.0,40772.67986720615,-35.70613131170603
30,64000.0,40362.697416745104,-36.510071827774254
31,65800.0,39944.10650114452,-37.29471750006553
32,67600.0,39515.39047490853,-38.11048993196056
33,69400.0,39124.978635797605,-38.87646849390177
34,71200.0,38742.31062500516,-39.514454073318916
35,73000.0,38366.371156200505,-40.239216617771945
36,74800.0,37914.82951371434,-40.88668323536285
37,76600.0,37581.00567292294,-41.55391732483537
38,78400.0,37227.45901818424,-42.248015223832056
39,80200.0,36768.216333118464,-42.9094705542816
40,82000.0,36420.38247613396,-43.60083425733524
41,83800.0,36023.9746630704,-44.211002364446585
42,85600.0,35669.800161635816,-44.795622469065506
43,87400.0,35344.52503350731,-45.4838580704357
44,89200.0,34854.196970182435,-45.991152751572145
45,91000.0,34553.77875305343,-46.68791228083944
46,92800.0,34222.84580399368,-47.1342868129409
47,94600.0,33931.88374117683,-47.77331228936009
48,96400.0,33509.106599318984,-48.337996249031846
49,98200.0,33151.86007816709,-48.830838776696226
50,100000.0,32821.26542425761,-49.37135215423234
