frequency,impedance,phase
10000,8164.5454,-13.998657
11800,8175.6821,-14.516449
13600,8136.0117,-13.559662
15400,8220.9824,-13.846069
17200,8194.0322,-13.808899
19000,8208.3008,-13.968658
20800,8239.874,4.172791
22600,8239.1084,4.463043
24400,8180.6655,4.759216
26200,8252.6055,4.580017
28000,8192.7314,4.665863
29800,8249.0166,4.831543
31600,8218.873,4.935211
33400,8240.7314,4.773163
35200,8216.8682,5.046326
37000,8251.7217,5.046143
38800,8206.9473,5.028656
40600,8223.7773,5.139984
42400,8218.6768,5.157166
44200,8188.6641,5.636169
46000,8244.9424,5.458527
47800,8244.209,5.488403
49600,8234.2734,5.637756
51400,8234.9434,5.669373
53200,8223.0127,5.628632
55000,8232.4785,5.828186
56800,8238.0146,5.69693
58600,8207.1523,5.932556
60400,8223.7324,6.018768
62200,8209.7764,5.87442
64000,8224.7891,6.036652
65800,8204.3662,6.104675
67600,8254.3896,6.062836
69400,8218.6641,6.322479
71200,8215.043,6.41922
73000,8201.125,6.41568
74800,8230.9785,6.719727
76600,8255.0273,6.71344
78400,8218.7363,6.64563
80200,8220.3887,6.864807
82000,8225.7656,6.895569
83800,8239.292,6.75177
85600,8223.2666,6.990173
87400,8232.0537,6.855469
89200,8218.4873,7.160706
91000,8243.0254,7.128326
92800,8214.2666,7.164124
94600,8208.2646,7.148499
96400,8212.4346,7.393738
98200,8223.4551,7.461792
100000,8217.4746,7.535492
