frequency,impedance,phase
10000,9966.2139,-17.139648
11800,9970.4014,-17.191833
13600,9996.2646,0.791412
15400,10009.928,1.099426
17200,10011.316,1.171448
19000,10010.22,1.06665
20800,10000.667,1.078918
22600,10006.829,1.072968
24400,9995.2627,1.075775
26200,10002.742,1.06015
28000,10000.326,1.105438
29800,10009.883,1.051666
31600,10006.048,1.073334
33400,10011.354,1.097626
35200,10002.826,1.036926
37000,10004.76,1.070374
38800,10001.056,1.055359
40600,10003.42,1.071533
42400,9997.585,1.060028
44200,10001.252,1.095612
46000,10010.731,1.038574
47800,10002.75,1.053192
49600,10009.183,1.022003
51400,9994.3125,1.027496
53200,9998.6553,1.047119
55000,10005.176,1.040131
56800,10000.487,1.0289
58600,10001.836,1.020599
60400,10002.54,1.047607
62200,10002.495,1.007019
64000,9998.7813,1.057281
65800,10001.628,1.064117
67600,9997.1006,1.028137
69400,9988.0576,1.038513
71200,10006.878,1.043457
73000,9999.0127,1.030884
74800,10000.453,1.060516
76600,10010.37,1.039093
78400,10005.434,1.013
80200,10001.738,1.020691
82000,10002.345,1.011993
83800,10000.162,1.046692
85600,10008.497,1.066986
87400,9995.8174,1.029694
89200,9998.2275,1.074921
91000,10003.514,1.045471
92800,10000.845,1.036041
94600,10003.745,1.026367
96400,10009.389,0.979645
98200,10002.438,1.016235
100000,9997.3789,1.025421
