frequency,impedance,phase
10000,809599.06,-19.53125
11800,805195.25,-20.218353
13600,803826.13,-19.729095
15400,812797.5,-20.236542
17200,808378.75,-20.688141
19000,808312.0,-20.88266
20800,809026.94,-21.082031
22600,800392.69,-21.745178
24400,803109.94,-21.405243
26200,806975.5,-21.95929
28000,804763.69,-21.875458
29800,802281.31,-22.146912
31600,798659.31,-3.901184
33400,803686.56,-3.553253
35200,798907.19,-3.839661
37000,800703.19,-4.217285
38800,794765.06,-4.306244
40600,795865.81,-4.580017
42400,793332.69,-4.818817
44200,787295.88,-4.640625
46000,794381.13,-5.083405
47800,791042.25,-5.697693
49600,791010.25,-5.76593
51400,792766.5,-6.100281
53200,785889.38,-6.355988
55000,789081.0,-6.367462
56800,783892.94,-6.547058
58600,784572.25,-6.776245
60400,785510.0,-7.16925
62200,777594.25,-7.408508
64000,781169.75,-7.552521
65800,777877.0,-7.789673
67600,779139.75,-7.868164
69400,775395.44,-7.981689
71200,778877.38,-8.112671
73000,775340.44,-8.348511
74800,775687.5,-8.346924
76600,770827.63,-8.717926
78400,768031.5,-9.024353
80200,768292.63,-9.329437
82000,766782.0,-9.544342
83800,762197.88,-9.624603
85600,766082.75,-9.763977
87400,762639.06,-10.052612
89200,762165.81,-10.308807
91000,760035.0,-10.506744
92800,758836.81,-10.761292
94600,753873.69,-10.958344
96400,756480.75,-11.165436
98200,753032.44,-11.474792
100000,751239.75,-11.212463
