frequency,impedance,phase
10000,4790755.0,-67.595016
11800,4814576.0,-45.776031
13600,4719824.5,-45.972946
15400,4594219.0,-46.221283
17200,4483152.5,-46.452667
19000,4357267.0,-47.075882
20800,4244572.0,-47.245346
22600,4104109.3,-47.395386
24400,4015197.5,-47.851395
26200,3928921.3,-48.980026
28000,3832592.5,-49.020935
29800,3739958.0,-47.751175
31600,3685401.3,-48.174179
33400,3574504.0,-48.841064
35200,3489167.5,-48.968124
37000,3426836.3,-49.163559
38800,3346623.3,-48.663269
40600,3306328.5,-49.355438
42400,3253147.8,-49.011932
44200,3160557.3,-48.807159
46000,3121642.8,-49.121521
47800,3069313.3,-48.909698
49600,3019146.3,-48.862686
51400,2966416.0,-49.007019
53200,2918626.3,-48.563583
55000,2874208.8,-48.893463
56800,2830358.0,-48.717911
58600,2778684.8,-48.894547
60400,2745026.5,-48.643845
62200,2694902.8,-48.735107
64000,2674382.8,-48.223877
65800,2628787.0,-48.468994
67600,2590726.8,-48.291595
69400,2566303.0,-48.241608
71200,2524583.0,-47.852097
73000,2491362.3,-47.68576
74800,2466768.3,-47.431549
76600,2452894.5,-47.469086
78400,2393359.8,-47.482895
80200,2390672.0,-47.26181
82000,2347894.0,-47.093185
83800,2334692.0,-46.953552
85600,2293949.5,-46.590469
87400,2265447.3,-46.260315
89200,2245660.3,-46.336578
91000,2227217.8,-46.008484
92800,2193049.3,-46.447937
94600,2181309.3,-45.790894
96400,2160234.8,-45.895966
98200,2140795.8,-45.785095
100000,2116255.3,-45.402466
