frequency,impedance,phase
10000,465890.38,-18.796204
11800,466013.34,-19.135284
13600,465492.78,-18.939087
15400,467670.91,-19.18222
17200,466512.78,-19.272064
19000,466012.75,-19.442902
20800,466544.56,-19.553101
22600,467519.53,-1.373291
24400,464750.84,-0.858185
26200,466888.88,-0.983978
28000,466429.97,-1.119019
29800,466031.31,-1.025452
31600,465476.53,-1.406067
33400,465100.5,-1.713043
35200,463823.44,-1.720612
37000,465258.88,-1.798676
38800,464985.06,-2.001404
40600,463969.09,-2.034302
42400,463524.72,-2.136108
44200,463821.19,-2.05127
46000,463348.88,-2.299622
47800,464332.78,-2.386536
49600,463433.38,-2.639404
51400,461310.94,-2.889221
53200,462156.81,-2.946014
55000,461148.75,-3.038666
56800,462386.25,-3.152405
58600,461169.63,-3.211395
60400,459720.66,-3.482178
62200,459925.59,-3.627594
64000,459983.56,-3.889954
65800,459235.03,-3.754059
67600,459680.13,-3.885986
69400,459039.81,-3.992188
71200,459785.5,-4.105774
73000,458344.5,-4.171173
74800,459284.84,-4.305206
76600,458525.34,-4.632355
78400,457115.59,-4.479126
80200,457005.22,-4.829224
82000,456633.31,-4.89505
83800,456773.88,-4.941498
85600,454930.84,-5.056091
87400,455985.97,-5.105621
89200,455193.84,-5.247284
91000,454905.66,-5.330688
92800,454496.06,-5.556244
94600,454537.56,-5.645538
96400,455099.75,-5.698364
98200,453369.38,-5.770416
100000,452795.25,-5.839508
