,Frequency,Impedance,Phase
0,10000.0,49848.189202531714,0.09304473756509424
1,11800.0,49928.0904900079,-0.09300001623671506
2,13600.0,49820.70807737293,-0.24302541248039233
3,15400.0,49973.52298715475,-0.06466505514651999
4,17200.0,50036.79181503872,-0.09317312808656197
5,19000.0,49853.28405485825,-0.13242926525816756
6,20800.0,50058.80392307257,-0.10426033271096458
7,22600.0,50187.99850067304,-0.40456243848399254
8,24400.0,50045.88970975815,-0.20435499183463435
9,26200.0,50016.5825430703,-0.15976667085334384
10,28000.0,50077.98494091645,-0.13715615500444756
11,29800.0,49974.754212015345,-0.1970634941706635
12,31600.0,49992.76805230107,-0.1914704182350988
13,33400.0,49986.05874321601,-0.24072421949688305
14,35200.0,50010.33317860816,-0.07161905215309616
15,37000.0,50049.317566145306,-0.19366880028803735
16,38800.0,49985.50788637028,-0.2622724268229035
17,40600.0,50045.66510174548,-0.32274543177140913
18,42400.0,49954.27330927537,-0.27449812508785953
19,44200.0,49960.271149307555,-0.2416675450805883
20,46000.0,49855.36858651846,-0.1803784414329357
21,47800.0,49992.27636217996,-0.3307525154859263
22,49600.0,50062.29212433782,-0.34679969819433154
23,51400.0,50022.874104529175,-0.3098459885909506
24,53200.0,49957.66935061843,-0.215390228290687
25,55000.0,50036.156700549196,-0.3510878950736469
26,56800.0,49908.14747792687,-0.07527026302790318
27,58600.0,50016.119968088344,-0.5464371666905095
28,60400.0,50040.4882506904,-0.4556335994494134
29,62200.0,50121.02383925339,-0.539570885885837
30,64000.0,49939.38845434289,-0.3936412233197757
31,65800.0,50079.282099287804,-0.5112707730134503
32,67600.0,50034.003254759475,-0.5135692084331822
33,69400.0,50042.698117135784,-0.4546592240118912
34,71200.0,50088.15244686249,-0.5735282181274215
35,73000.0,49935.58176598541,-0.46154337371393694
36,74800.0,49963.876293305504,-0.6376999789459319
37,76600.0,50020.56326370486,-0.5659519162463198
38,78400.0,49975.70943429016,-0.5990527364692184
39,80200.0,50164.339179278104,-0.625337983848965
40,82000.0,50045.879137434364,-0.5743129890988143
41,83800.0,50093.32864502455,-0.6380530550595154
42,85600.0,49946.070907180954,-0.545844852038897
43,87400.0,49987.84352611207,-0.5908938095010967
44,89200.0,50112.452267708286,-0.5580463004021681
45,91000.0,50113.200595105736,-0.7204507757297733
46,92800.0,49955.73288367609,-0.5791455849210934
47,94600.0,50074.91964779132,-0.7173994920775613
48,96400.0,50010.68856273773,-0.6663073978813259
49,98200.0,50017.88692224423,-0.6506621830781683
50,100000.0,50026.44625834539,-0.6747996541301973
