,Frequency,Impedance,Phase
0,10000.0,185088.6366093731,-24.20694224333579
1,11800.0,179204.97705525358,-27.98234376833514
2,13600.0,172874.12363887858,-31.431651311922337
3,15400.0,166627.67905491235,-34.76420012828902
4,17200.0,160303.21880078854,-37.817933262954455
5,19000.0,154013.84405521862,-40.49818548628676
6,20800.0,147666.76367502342,-43.08866543460039
7,22600.0,141931.05218263427,-45.444618960308276
8,24400.0,136140.34043485823,-47.71329504665255
9,26200.0,130650.86595194618,-49.68821668611355
10,28000.0,125593.58958826173,-51.50549055164751
11,29800.0,120751.71329469817,-53.17623693052937
12,31600.0,116159.20048639472,-54.816367677730284
13,33400.0,111813.54719133004,-56.269262312413105
14,35200.0,107627.81940019633,-57.57324643871584
15,37000.0,103755.42164453576,-58.84790850916585
16,38800.0,100071.18062980211,-60.06698097422125
17,40600.0,96624.30863068564,-61.11762797271206
18,42400.0,93430.60970601784,-62.11966893146686
19,44200.0,90335.92414175735,-63.10397909113138
20,46000.0,87343.79709777754,-64.00826763538504
21,47800.0,84690.46345256288,-64.8549333211827
22,49600.0,82168.4480235125,-65.65433462012106
23,51400.0,79540.3872706301,-66.29271861717467
24,53200.0,77277.34792467856,-67.03737832607047
25,55000.0,75068.16000109112,-67.65828560346014
26,56800.0,73135.37841632112,-68.30525577575534
27,58600.0,70969.89499292035,-68.8459339331157
28,60400.0,69043.37924251925,-69.41042882355984
29,62200.0,67261.27762687116,-69.95289009172669
30,64000.0,65557.73032008577,-70.38501394928005
31,65800.0,63800.49638108031,-70.88893929848189
32,67600.0,62234.286502827534,-71.24246873903269
33,69400.0,60734.296804072685,-71.68009187590741
34,71200.0,59348.66250151279,-71.8546218771431
35,73000.0,57895.95383631763,-72.1232508106653
36,74800.0,56277.783130594704,-72.05615487722636
37,76600.0,55240.007489430536,-71.85087493445488
38,78400.0,54645.07647811609,-70.49559204799596
39,80200.0,53677.78434902197,-70.07447076016143
40,82000.0,52350.89215386511,-70.27168379753113
41,83800.0,50845.39847751806,-70.0061493350666
42,85600.0,49649.29591761208,-69.65703152890211
43,87400.0,49034.34827170903,-66.49049250036455
44,89200.0,48787.49136179399,-58.80054208335633
45,91000.0,48835.09695808771,-53.814590295731136
46,92800.0,48907.73469789664,-49.597190829739645
47,94600.0,48926.436038603526,-46.183576588590824
48,96400.0,48988.27288447784,-42.736659935781574
49,98200.0,49014.67838854711,-39.59616013268044
50,100000.0,49089.63423679965,-36.82934186767898
