frequency,impedance,phase
10000,9819.292,-12.13147
11800,9841.6387,-12.8302
13600,9776.4854,-11.722534
15400,9914.6416,-12.072632
17200,9879.3555,-12.013184
19000,9891.6563,-12.05603
20800,9894.6611,-11.811798
22600,9882.9287,-12.216095
24400,9813.7402,-11.613525
26200,9896.248,-11.530518
28000,9882.5732,6.386688
29800,9945.2383,7.117981
31600,9901.6738,6.873627
33400,9938.2529,7.099976
35200,9898.8887,7.088074
37000,9918.2549,7.054932
38800,9862.0059,7.22345
40600,9931.0645,7.357239
42400,9874.04,7.236298
44200,9867.1309,7.773865
46000,9994.2705,7.486206
47800,9942.4609,7.453369
49600,9945.5635,7.696686
51400,9973.7783,7.885681
53200,9890.6416,7.687561
55000,9888.3789,8.103149
56800,9893.5332,7.968048
58600,9886.7813,8.131104
60400,9889.4873,8.140015
62200,9944.2227,8.055634
64000,9908.9658,8.445618
65800,9922.2422,8.369568
67600,9914.3135,8.609375
69400,9897.8613,8.58139
71200,9900.8115,8.754883
73000,9860.6973,8.692078
74800,9902.6162,9.359802
76600,9951.7539,8.926666
78400,9909.9297,8.967377
80200,9909.876,9.15152
82000,9909.3311,9.114716
83800,9919.1504,9.314697
85600,9859.9053,9.347168
87400,9875.3311,9.469177
89200,9861.4775,9.653748
91000,9900.5811,9.81778
92800,9887.1299,9.628326
94600,9925.5918,9.961243
96400,9903.041,10.133057
98200,9898.0107,9.730438
100000,9874.9971,10.166321
