frequency,impedance,phase
10000,4829.2397,-20.517914
11800,4828.8423,-20.09787
13600,4830.9248,-19.325623
15400,4832.9194,-18.774567
17200,4846.874,-0.526459
19000,4848.708,0.474091
20800,4849.207,0.895355
22600,4849.377,1.156494
24400,4844.5269,1.578552
26200,4846.7197,2.070404
28000,4846.4199,2.356506
29800,4846.2778,2.67984
31600,4847.3169,2.979919
33400,4850.582,3.360504
35200,4845.0327,3.644135
37000,4849.5083,3.93573
38800,4846.1553,4.138824
40600,4848.4473,4.616547
42400,4846.3574,4.716492
44200,4845.6675,4.993958
46000,4845.7212,5.464996
47800,4847.8115,5.509094
49600,4847.4648,5.810516
51400,4848.3535,6.060974
53200,4848.605,6.188812
55000,4845.9971,6.648376
56800,4846.6094,6.737701
58600,4845.8994,7.053162
60400,4848.2061,7.182495
62200,4849.4297,7.539581
64000,4848.4492,7.6651
65800,4847.8228,7.882599
67600,4849.1982,8.13562
69400,4847.0386,8.285431
71200,4847.1914,8.635193
73000,4843.5513,8.602875
74800,4850.8115,8.907654
76600,4849.2407,9.217468
78400,4849.6279,9.392303
80200,4849.708,9.644562
82000,4851.5059,9.820984
83800,4849.8379,10.130005
85600,4848.9263,10.324219
87400,4848.4072,10.457611
89200,4851.645,10.621216
91000,4847.7354,10.897736
92800,4853.9648,11.070068
94600,4852.2124,11.247253
96400,4852.4609,11.572601
98200,4849.8281,11.668762
100000,4848.3306,11.872681
