frequency,impedance,phase
10000,4830.1836,-21.602478
11800,9999.1504,0.807068
13600,4843.3872,-2.138092
15400,4848.3232,-1.521912
17200,4846.2021,-1.222198
19000,4839.9204,-0.825012
20800,4844.4473,-0.243286
22600,4842.6621,0.207642
24400,4842.9634,0.655151
26200,4847.5371,1.000214
28000,4844.77,1.254211
29800,4843.1187,1.744446
31600,4847.8916,1.996857
33400,4843.3252,2.47821
35200,4842.9009,2.695923
37000,4844.3887,2.909607
38800,4843.9185,3.310944
40600,4844.7344,3.610779
42400,4845.1597,3.865265
44200,4843.7432,4.170227
46000,4849.0645,4.637024
47800,4847.6055,4.601776
49600,4841.394,4.936432
51400,4844.272,5.301605
53200,4843.168,5.45047
55000,4845.4971,5.732941
56800,4846.6748,5.964966
58600,4846.0347,6.140289
60400,4848.2036,6.363098
62200,4844.3721,6.619507
64000,4845.2305,7.008972
65800,4845.6455,7.220367
67600,4846.334,7.362335
69400,4846.061,7.619537
71200,4846.2319,7.863281
73000,4845.2183,8.046082
74800,4849.272,8.107544
76600,4848.5107,8.407166
78400,4846.2285,8.685516
80200,4845.9497,8.869263
82000,4849.4429,9.080566
83800,4844.5317,9.382629
85600,4849.6519,9.694702
87400,4849.897,9.992462
89200,4847.7954,10.043762
91000,4850.1729,10.225006
92800,4851.5615,10.377716
94600,4852.2417,10.525177
96400,4849.7607,10.647339
98200,4848.6523,10.882965
100000,4847.79,11.138062
