frequency,impedance,phase
10000,100000.01,0.0
11800,100021.96,0.292389
13600,99896.266,0.481659
15400,100231.23,0.326111
17200,99929.5,0.379761
19000,100038.02,0.377045
20800,99971.211,0.342651
22600,99821.422,0.317627
24400,99937.375,0.433533
26200,100035.77,0.361328
28000,100007.77,0.406158
29800,100063.01,0.441772
31600,99966.281,0.349518
33400,99980.367,0.386932
35200,99977.961,0.381165
37000,100068.11,0.404358
38800,99956.805,0.332031
40600,100005.41,0.356354
42400,99821.711,0.314941
44200,100042.92,0.422058
46000,100079.93,0.374512
47800,100038.88,0.315887
49600,99985.461,0.380249
51400,100155.47,0.298767
53200,100022.52,0.351227
55000,100068.05,0.40094
56800,100022.94,0.334534
58600,99993.602,0.384644
60400,100069.76,0.332031
62200,100083.25,0.359528
64000,99880.07,0.415039
65800,99959.289,0.320801
67600,100029.8,0.358582
69400,99949.367,0.307343
71200,100063.95,0.324097
73000,99900.984,0.305145
74800,99900.117,0.335724
76600,99917.039,0.370392
78400,99894.664,0.298584
80200,99901.977,0.380829
82000,100068.37,0.368042
83800,99975.773,0.3237
85600,99921.711,0.411957
87400,100093.73,0.377441
89200,99970.734,0.406128
91000,100011.77,0.329102
92800,99959.195,0.336182
94600,99998.273,0.308624
96400,100010.82,0.388397
98200,100004.62,0.36261
100000,99955.758,0.3638
