frequency,impedance,phase
10000,332471.06,-18.158691
11800,332474.84,-18.410248
13600,332615.56,-18.030212
15400,333804.0,-18.231903
17200,333141.09,-18.299164
19000,333120.53,-18.427673
20800,333705.72,-0.050964
22600,333136.25,0.176392
24400,332834.75,0.321228
26200,334160.56,0.119232
28000,332443.78,0.097931
29800,333674.78,0.025787
31600,332781.13,-0.22995
33400,332562.97,-0.166412
35200,332489.63,-0.241241
37000,333155.56,-0.385742
38800,332166.06,-0.461578
40600,332536.31,-0.532166
42400,331982.69,-0.648315
44200,332315.53,-0.536591
46000,332754.22,-0.880463
47800,332194.75,-0.859253
49600,332034.13,-0.928406
51400,331632.56,-1.040771
53200,331163.78,-1.201263
55000,331434.63,-1.081787
56800,331280.19,-1.209259
58600,330696.28,-1.336914
60400,331343.56,-1.356873
62200,331660.84,-1.41449
64000,331198.47,-1.458038
65800,330822.44,-1.512756
67600,330545.94,-1.722473
69400,330564.31,-1.77536
71200,330373.44,-1.887299
73000,329716.94,-1.872467
74800,329091.19,-1.870178
76600,329413.19,-2.207153
78400,329299.81,-2.028076
80200,329099.91,-2.212952
82000,329672.56,-2.263885
83800,329743.41,-2.433563
85600,329145.69,-2.415588
87400,329198.38,-2.575287
89200,328704.44,-2.554504
91000,328520.28,-2.645996
92800,328883.63,-2.772797
94600,328643.78,-2.68869
96400,327872.19,-2.910583
98200,327961.69,-3.011566
100000,327649.22,-3.00824
