frequency,impedance,phase
10000,19404.875,-16.672638
11800,19401.49,-16.794159
13600,19393.744,-16.581421
15400,19503.268,1.201019
17200,19483.459,1.552399
19000,19498.588,1.619904
20800,19502.438,1.525787
22600,19460.047,1.478821
24400,19463.529,1.602905
26200,19489.598,1.550598
28000,19452.836,1.581024
29800,19509.248,1.689392
31600,19493.865,1.551544
33400,19495.344,1.529236
35200,19493.445,1.566376
37000,19494.92,1.536682
38800,19475.521,1.564819
40600,19488.236,1.553925
42400,19481.051,1.57074
44200,19479.52,1.63913
46000,19503.895,1.608185
47800,19489.174,1.544159
49600,19493.982,1.558441
51400,19505.164,1.565369
53200,19463.561,1.535156
55000,19459.266,1.606628
56800,19482.885,1.547485
58600,19477.066,1.60788
60400,19503.984,1.576569
62200,19508.059,1.615173
64000,19484.191,1.611847
65800,19483.346,1.617035
67600,19499.844,1.615326
69400,19474.156,1.603271
71200,19470.664,1.595764
73000,19484.014,1.624084
74800,19493.877,1.640564
76600,19502.686,1.63266
78400,19490.109,1.601929
80200,19494.328,1.63031
82000,19487.088,1.569702
83800,19478.008,1.591003
85600,19481.906,1.687439
87400,19509.014,1.651581
89200,19485.25,1.638885
91000,19490.713,1.659271
92800,19488.225,1.718262
94600,19476.223,1.64975
96400,19489.52,1.685608
98200,19481.383,1.608307
100000,19478.006,1.699768
