frequency,impedance,phase
10000,332129.88,-19.928528
11800,100047.27,0.136169
13600,331779.69,-1.133423
15400,333692.09,-1.264801
17200,333313.03,-1.452637
19000,332598.0,-1.554718
20800,332978.41,-1.623657
22600,332225.97,-1.753235
24400,331877.69,-1.746063
26200,332412.25,-1.922241
28000,331475.41,-1.946777
29800,332288.81,-2.179138
31600,332389.88,-2.161957
33400,332146.31,-2.205017
35200,331269.78,-2.253326
37000,331989.97,-2.376709
38800,331158.66,-2.490784
40600,331149.0,-2.586426
42400,330749.97,-2.717041
44200,331089.72,-2.451843
46000,331499.38,-2.580353
47800,330872.78,-2.976685
49600,330387.53,-2.925385
51400,331161.25,-3.027954
53200,330536.25,-3.128479
55000,329708.56,-3.080261
56800,329403.56,-3.244019
58600,330374.0,-3.303223
60400,330148.81,-3.433289
62200,329919.41,-3.441223
64000,330556.78,-3.545624
65800,329927.34,-3.561249
67600,329991.25,-3.721832
69400,329578.94,-3.811768
71200,329715.41,-3.766296
73000,328872.44,-3.916016
74800,329131.81,-3.954224
76600,329165.16,-4.061462
78400,328582.44,-4.203003
80200,328735.41,-4.233215
82000,328317.28,-4.37738
83800,328640.03,-4.344147
85600,327922.31,-4.552094
87400,327651.91,-4.446075
89200,327864.78,-4.688751
91000,326810.78,-4.749237
92800,327646.19,-4.735443
94600,326870.53,-4.88681
96400,327243.25,-4.796448
98200,326905.59,-4.987244
100000,326849.78,-5.041992
