frequency,impedance,phase
10000,19360.133,-23.280457
11800,19379.559,-23.74353
13600,19374.602,-5.807007
15400,19490.705,-5.892639
17200,19274.219,-6.191711
19000,19307.271,-6.506927
20800,19432.49,-6.746002
22600,19286.793,-7.110992
24400,19308.326,-7.392914
26200,19331.678,-7.717133
28000,19252.842,-8.035828
29800,19293.424,-8.434662
31600,19269.818,-8.838531
33400,19189.994,-8.740234
35200,19217.244,-9.00177
37000,19124.025,-9.496216
38800,19239.98,-9.519226
40600,19196.283,-10.000702
42400,19112.873,-10.236633
44200,19143.912,-10.735413
46000,19021.502,-10.846069
47800,19152.893,-11.261932
49600,19102.607,-11.624603
51400,19071.766,-11.730042
53200,19047.256,-12.161652
55000,19042.684,-12.394012
56800,19037.018,-12.80896
58600,19057.996,-12.893219
60400,19077.186,-13.429047
62200,18879.373,-13.637115
64000,18856.992,-14.229858
65800,18758.582,-14.030334
67600,18839.377,-14.81015
69400,18853.516,-14.386169
71200,18739.064,-14.868134
73000,18761.758,-15.266174
74800,18819.094,-15.249207
76600,18810.689,-15.702209
78400,18712.748,-16.112518
80200,18719.441,-16.30481
82000,18628.254,-16.533447
83800,18661.27,-16.934204
85600,18616.266,-17.138489
87400,18629.807,-17.555206
89200,18573.898,-17.487305
91000,18578.025,-17.946198
92800,18594.701,-18.280426
94600,18392.273,-18.296265
96400,18372.521,-18.656219
98200,18393.732,-19.226013
100000,18365.646,-19.361664
